Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
90,0.7559565638794619,0.9997746348381042,552.9193732443821,744.5417837078652,0.9999768137931824,605.3692649812735,714.1230688202247,0.9995478391647339,531.7537160580524,728.1495055009364,0.9995551109313965,657.6763664559926,762.0489524812734,0.9994930028915405,465.61973314606746,785.0925356975656,0.9703762531280518,801.6096090823971,1024.0287043539327,0.9812396168708801,359.1630091292135,991.8734638342697,0.9973113536834717,843.487974016854,1294.9802492977528,0.9930689334869385,310.71292720037457,1161.839302434457,0.9931157231330872,709.4662921348315,1418.2527212078653,0.9509522914886475,307.6577861657304,1239.659995318352,0.8257448077201843,723.2943439840824,1634.4822389981273,0.8596469163894653,401.6474280196629,1577.9210557116105,0.20937493443489075,753.7599485018727,1900.2770950374531,0.04223644733428955,755.4160814606741,1890.9091175093633,0.02007398009300232,738.7862827715355,1973.8737710674159,0.009772926568984985,741.0505179073034,1968.307584269663
91,0.7580046758932226,0.9997532367706299,554.5871371722847,745.0495962078652,0.9999749660491943,606.950857326779,714.0720095973783,0.9995609521865845,507.7472495318352,726.4003247893259,0.9995872974395752,658.8057408707866,760.619221090824,0.9994343519210815,467.70862593632967,785.3012347846442,0.975348949432373,778.8791842228466,1007.1866221910112,0.9830238819122314,358.66536458333337,991.4659410112359,0.9965944290161133,843.9261470037454,1294.9871254681648,0.9944635629653931,312.6603464419476,1159.7848636470037,0.9912763237953186,716.023744733146,1417.0407595973784,0.9588990807533264,304.14435568820227,1236.067123127341,0.8228708505630493,724.0129769428838,1637.6299157303372,0.8847329616546631,406.2957192181648,1564.5906484082398,0.21991011500358582,753.4167251872659,1898.8423162453184,0.03673124313354492,759.2891210205994,1888.8369030898878,0.014649927616119385,739.0407742275281,1981.009626638577,0.009267359972000122,743.0222963483147,1975.1958977059926
92,0.7546325168188881,0.9997336268424988,555.5656747425094,745.4370025749064,0.9999710321426392,608.208830758427,713.8322214419476,0.999599039554596,508.9032508192885,726.0285726825842,0.9995702505111694,659.754067181648,761.5180974953183,0.9993330836296082,469.58128511235964,785.8881232443821,0.9804311990737915,783.045704588015,1006.4513108614233,0.9840917587280273,360.30211259363296,990.8061212546817,0.9964691996574402,845.502106741573,1295.2254506086142,0.9914989471435547,313.78950140449444,1160.6164413623596,0.9918901920318604,718.5001170411986,1416.5029552902622,0.964299201965332,303.0958860018727,1235.4631905430713,0.782789945602417,718.7014279026218,1628.8857677902622,0.8749838471412659,405.33159234550567,1563.5529318820224,0.19386205077171326,763.1668422284645,1878.883280664794,0.04070410132408142,757.6864612593633,1891.618533473783,0.01722133159637451,738.013371956929,1979.5442708333335,0.012303978204727173,741.5746430243446,1976.035083099251
93,0.7541942228289211,0.9997533559799194,556.244147940075,746.617655664794,0.9999699592590332,609.2357209737829,714.5186680711611,0.9996711015701294,512.4329207631087,726.2034029728464,0.9995638132095337,662.0877955290262,761.2696044007491,0.9992525577545166,466.93951896067415,784.8606478230338,0.9840604662895203,787.0157420411986,1007.5939987125469,0.9854052066802979,357.5708099250936,992.4911487593633,0.9971245527267456,847.8651685393259,1296.4100538389514,0.9925203919410706,312.96823794475654,1161.109696863296,0.9862947463989258,722.5733702013108,1418.3090472846443,0.9540091156959534,300.6266093164794,1252.7305711610488,0.7880419492721558,726.0933842462548,1637.10703417603,0.885796070098877,406.89087371254686,1558.159234550562,0.19123977422714233,761.1483936095506,1877.550474016854,0.032519787549972534,760.2662687265918,1891.3506554307116,0.016470640897750854,743.5194288389514,1980.1568352059926,0.009608298540115356,746.549771769663,1975.0313085205994
94,0.7554416691555697,0.9997825622558594,558.6454675795881,746.1229371488764,0.9999614953994751,612.4486481741574,713.8639688670412,0.9997497797012329,513.2658151919476,725.7309222846442,0.9994466304779053,663.1432145365168,761.2631671348315,0.9991170167922974,468.0981536750936,784.1872220271536,0.9866170883178711,789.4594159644196,1007.1706753277153,0.9837598204612732,372.9139600889513,991.1009919241574,0.9966918230056763,851.0922869850187,1295.7417485955057,0.9902946949005127,301.30325374531833,1165.03204002809,0.989220380783081,721.2864290730338,1417.9645072565543,0.9407585859298706,293.5835820458801,1261.0292310393259,0.7701236009597778,722.3766678370787,1627.147120786517,0.9034488201141357,405.4683842462547,1561.9976006554307,0.23105868697166443,761.8834854868915,1877.3668656367042,0.028611868619918823,760.7425532537454,1890.1637113764045,0.015018761157989502,743.5068469101125,1978.6083801498128,0.008846759796142578,747.1061563670412,1971.3977645131088
95,0.7551096818026375,0.9997959136962891,560.3817006086142,746.9041139981274,0.9999569654464722,590.8940484550562,712.9910609784645,0.9998139142990112,514.6608731273409,725.5553604868915,0.9994892477989197,664.7404611423221,761.3990812265918,0.9991395473480225,469.64287804307116,784.1441362359551,0.9879075288772583,791.1815308988764,1008.8884743679776,0.9852942228317261,370.3149871254682,991.5802024812734,0.9971143007278442,851.5965882490636,1296.0232326779026,0.9904363751411438,288.2211200842697,1164.6068878745318,0.99249267578125,717.8048923220974,1420.9964595037454,0.9684169292449951,296.87997425093636,1268.1599660580525,0.774364709854126,718.3032683754682,1665.5737944756554,0.8719829320907593,408.18088717228466,1563.6111598782772,0.2119118869304657,760.4337839419477,1879.5997191011236,0.029822498559951782,764.1782976357679,1890.7424801029963,0.017681926488876343,743.9930067883895,1980.704149110487,0.01124301552772522,746.9368123829588,1973.5584913389514
96,0.7525412492892322,0.9998008012771606,561.0459825608615,748.0843281835206,0.9999622702598572,592.8024051966293,713.4107268258427,0.9998136758804321,514.4549537687266,725.5950081928839,0.9994688034057617,665.3118416432585,762.0984755383895,0.9991930723190308,470.57584269662925,784.6591906601124,0.9874254465103149,790.6378013810861,1008.6818966526217,0.9826923608779907,371.10677083333337,991.2862827715356,0.9974364042282104,851.9412745786517,1295.7933930243446,0.9760743379592896,277.9998390683521,1176.4331694756554,0.9925553202629089,716.468281835206,1421.7469861891386,0.9929420948028564,297.6956782537453,1270.6327539794008,0.771767795085907,719.072887406367,1673.0092755149813,0.8810522556304932,405.7497951779027,1558.3296757958801,0.16645246744155884,758.3059749531835,1881.8843632958801,0.02305781841278076,764.4112827715355,1894.8810568820224,0.015248239040374756,741.8973109784645,1983.3772237827716,0.008258074522018433,745.5391941713483,1977.218515917603
97,0.7592599900329814,0.9997948408126831,561.2785287921349,748.6797021301498,0.9999674558639526,593.4619323501873,713.917661516854,0.9998303055763245,514.5545850889514,725.6519926264045,0.9994863271713257,665.8142409878278,761.9441274578652,0.9991711378097534,470.9852674391386,784.840385065543,0.9875325560569763,790.9620055009364,1008.5749502574906,0.9816699624061584,370.50949496722853,991.0118943117977,0.9974523186683655,851.6529143258426,1297.3128803838952,0.9796112775802612,261.3572389981274,1181.4621371722847,0.9893920421600342,717.684925093633,1420.0099485018727,0.9945222735404968,292.62121079119856,1273.1595271535582,0.8244665861129761,725.8451106039327,1635.0280898876406,0.8754070401191711,402.6315250468165,1555.251492275281,0.22705653309822083,761.7786604634832,1876.4592111423221,0.028394579887390137,761.5069054307116,1894.7720622659176,0.015220165252685547,738.6440777153559,1985.6738647003747,0.008444428443908691,745.3729956694756,1980.2857268258429
98,0.7600181470899021,0.999793291091919,562.265625,749.6289794007491,0.9999706149101257,595.6004213483146,714.3523964185393,0.9998279809951782,515.0739554073034,725.5142497659176,0.9994938373565674,666.8405459971912,761.0658064138577,0.999083399772644,472.2000819288389,785.1669300093633,0.9869819283485413,792.9752604166667,1009.5886001872659,0.9803683161735535,368.4755383895132,989.4284000468165,0.9975056648254395,849.0341175093633,1297.7751931179776,0.9815973043441772,270.650237008427,1180.560554190075,0.9895366430282593,719.0460410814608,1421.3502165262173,0.9991724491119385,293.9574555243446,1275.438758192884,0.8158029317855835,724.4409819756554,1637.9532420411986,0.900847315788269,401.1177434456929,1557.553985252809,0.22117513418197632,762.6955319522472,1879.2266502808989,0.02844718098640442,762.6131642088014,1899.168129681648,0.012567520141601562,734.327964068352,1988.0132256554307,0.008136987686157227,741.432584269663,1983.5033356741574
99,0.7613314898575053,0.9997873902320862,562.7188670411986,750.0313085205993,0.9999730587005615,597.3249502574906,714.5786516853933,0.9998295307159424,515.3933315777153,725.3961844569288,0.9995180368423462,668.2445283239701,761.3524841994382,0.9991459250450134,473.28871137640454,785.7655957397004,0.9864587783813477,791.7722231975656,1009.1093164794008,0.9800987839698792,368.6869440543071,989.6120815777153,0.9976032972335815,846.8236481741574,1298.7868679775281,0.9811444282531738,235.48111247659176,1222.0143521769664,0.9863107204437256,707.8161575374531,1419.6488764044943,0.9989973306655884,305.5909849016854,1273.7141561329588,0.8441811800003052,724.6871342462548,1629.1722261235955,0.8859915137290955,401.6089507256554,1553.3997542134832,0.22879034280776978,762.6347436797753,1881.3979108146068,0.03091338276863098,759.0129769428838,1900.4172518726593,0.013696014881134033,734.1506466526218,1984.5995727996255,0.010195612907409668,741.768053604869,1980.148203417603
